venda_id;nextfit_user_id;plano;produto;valor_total;moeda;status;data_venda;updated_at_nextfit;unidade;origem
V001;12345;Mensal Premium;Plano Academia;199.90;BRL;ativa;2025-01-30;2025-01-31T10:30:00Z;Parque Amazônia;Venda
V002;12346;Trimestral;Plano Academia;499.90;BRL;ativa;2025-01-29;2025-01-31T11:15:00Z;Vila Rosa;Venda
V003;12347;Mensal Básico;Plano Academia;149.90;BRL;cancelada;2024-12-15;2025-01-20T09:00:00Z;Parque Amazônia;Venda
V004;12348;Anual VIP;Plano Academia + Personal;1999.90;BRL;paga;2025-01-28;2025-01-31T14:20:00Z;Vila Rosa;Venda
V005;12349;Mensal Premium;Plano Academia;199.90;BRL;ativa;2025-01-31;2025-01-31T16:45:00Z;Parque Amazônia;Venda
V006;12345;Aula Avulsa;Aula de Spinning;45.00;BRL;paga;2025-01-25;2025-01-25T18:00:00Z;Parque Amazônia;Venda
V007;12346;Personal Training;Pacote 10 aulas;800.00;BRL;ativa;2025-01-20;2025-01-31T11:15:00Z;Vila Rosa;Venda
V008;12348;Nutrição;Consulta Nutricional;150.00;BRL;paga;2025-01-15;2025-01-31T14:20:00Z;Vila Rosa;Venda
V009;12349;Avaliação Física;Avaliação Completa;80.00;BRL;paga;2025-01-10;2025-01-31T16:45:00Z;Parque Amazônia;Venda
V010;12347;Mensal Básico;Plano Academia;149.90;BRL;estornada;2024-12-20;2025-01-20T09:00:00Z;Parque Amazônia;Backfill
